date,expression,meaning,explanation,example,example_translation,tip,CEFR_level,topic
2026-07-22,Η Πορτάρα στη Νάξο είναι το καλύτερο σημείο για φωτογραφίες.,Portara in Naxos is the best spot for photos.,The iconic massive marble doorway welcoming ships to Naxos.,"Ειδικά το ηλιοβασίλεμα, η Πορτάρα στη Νάξο είναι το καλύτερο σημείο για φωτογραφίες.","Especially at sunset, Portara in Naxos is the best spot for photos.",,A2,Sightseeing in Greece
2026-07-22,Έχετε ιστορικό στην οικογένεια;,Do you have a family history?,Asked by the doctor to determine if a condition might be hereditary.,Έχετε ιστορικό διαβήτη ή καρδιοπάθειας στην οικογένεια;,Do you have a family history of diabetes or heart disease?,Usually followed by the name of a specific disease.,B2,Seeing the Doctor
2026-07-22,Στο μικροσκόπιο των αρχών,Under the microscope of the authorities,Means that the authorities are investigating someone or something very closely and thoroughly.,Τα οικονομικά του συλλόγου μπήκαν στο μικροσκόπιο των αρχών.,The club's finances were put under the microscope of the authorities.,A vivid metaphor for a detailed official investigation.,C1,The News
2026-07-23,Τι σας φέρνει εδώ σήμερα;,What brings you here today?,"The standard, polite opening question a doctor asks to find out the reason for your visit.","Καλημέρα σας, τι σας φέρνει εδώ σήμερα;","Good morning, what brings you here today?",A very natural alternative to asking 'What is your problem?'.,A2,Seeing the Doctor
2026-07-23,Δίνω παραίτηση,To hand in one's resignation,To officially quit a job.,Δεν άντεχε άλλο την πίεση και έδωσε παραίτηση.,He couldn't handle the pressure anymore and handed in his resignation.,,B2,Office and Work
2026-07-23,Απόδοση επένδυσης (ROI),Return on Investment (ROI),A performance measure used to evaluate the efficiency or profitability of an investment.,Η απόδοση επένδυσης για τη νέα τεχνολογία αναμένεται να είναι υψηλή.,The return on investment for the new technology is expected to be high.,,C2,Business and Tax
2026-07-24,Ποιος θα σβήσει τον πίνακα σήμερα;,Who is going to erase the board today?,A classic classroom chore assigned to students.,"Παιδιά, τελειώσαμε το μάθημα, ποιος θα σβήσει τον πίνακα σήμερα;","Kids, we finished the lesson, who is going to erase the board today?",,A1,School and Education
2026-07-24,Ο γυμναστής μάς έβαλε να τρέξουμε πέντε γύρους στο γήπεδο.,The PE teacher made us run five laps around the court.,A typical activity during Physical Education class.,"Είμαι λαχανιασμένος, ο γυμναστής μάς έβαλε να τρέξουμε πέντε γύρους στο γήπεδο.","I'm out of breath, the PE teacher made us run five laps around the court.",,B1,School and Education
2026-07-24,Αισθάνομαι μια μικρή αδιαθεσία.,I'm feeling a little unwell.,A polite way to inform the crew that you are not feeling well.,"Συγγνώμη, αισθάνομαι μια μικρή αδιαθεσία. Μήπως έχετε μια σακούλα για την ναυτία;","Excuse me, I'm feeling a little unwell. Do you perhaps have a sickness bag?",Αδιαθεσία' is a general term for feeling unwell.,C1,Air Travel
2026-07-25,Ουρανός,Sky,The region of the atmosphere and outer space seen from the earth.,Κοίταξε ψηλά στον ουρανό.,Look up at the sky.,,A1,Space and Astronomy
2026-07-25,Κάναμε μπάνιο στις βάθρες της Σαμοθράκης και το νερό ήταν παγωμένο.,We swam in the rock pools of Samothrace and the water was freezing.,A mix of adventure and a slight shock at the cold mountain water.,"Ήταν εμπειρία, αλλά κάναμε μπάνιο στις βάθρες της Σαμοθράκης και το νερό ήταν παγωμένο.","It was an experience, but we swam in the rock pools of Samothrace and the water was freezing.",,B1,Sightseeing in Greece
2026-07-25,Εργασιακή εξουθένωση,Burnout,"A state of emotional, physical, and mental exhaustion caused by excessive and prolonged stress.",Η συνεχής πίεση για επίτευξη των στόχων οδήγησε πολλά στελέχη σε εργασιακή εξουθένωση.,The constant pressure to meet targets led many executives to burnout.,,C1,Business and Tax
2026-07-26,Το Ναύπλιο ήταν η πρώτη πρωτεύουσα της Ελλάδας.,Nafplio was the first capital of Greece.,A standard historical fact shared by tour guides.,"Πριν την Αθήνα, το Ναύπλιο ήταν η πρώτη πρωτεύουσα της Ελλάδας.","Before Athens, Nafplio was the first capital of Greece.",,A2,Sightseeing in Greece
2026-07-26,Βασικός μισθός,Minimum wage / Base salary,The lowest legal salary or the starting salary without bonuses.,"Δυστυχώς, η εταιρεία προσφέρει μόνο τον βασικό μισθό.","Unfortunately, the company only offers the minimum wage.",,B1,Office and Work
2026-07-26,Σινεφίλ κοινό,Cinephile audience,Audience members who are deeply passionate and knowledgeable about cinema.,Η ταινία απευθύνεται κυρίως σε ένα αυστηρό σινεφίλ κοινό.,The film is aimed primarily at a strict cinephile audience.,,C1,Movies and Cinema
2026-07-27,Ο διευθυντής του σχολείου θέλει να δει τους γονείς σου.,The school principal wants to see your parents.,The dreaded phrase when a student is in serious trouble.,Έκανες μεγάλη ζημιά και ο διευθυντής του σχολείου θέλει να δει τους γονείς σου.,You caused a lot of damage and the school principal wants to see your parents.,,A2,School and Education
2026-07-27,Κάνω «ψαράκι» από τον βατήρα.,I'm doing a shallow dive from the diving board.,"Ψαράκι' (little fish) is a specific type of shallow, horizontal dive.","Κοίτα με, κάνω «ψαράκι» από τον βατήρα της πισίνας!","Look at me, I'm doing a shallow dive from the diving board!",,B2,Summer and Beach
2026-07-27,Η αυγή με τα ρόδινα δάχτυλα.,The rosy-fingered dawn.,"A classic Homeric epithet ('ροδοδάκτυλος Ηώς'). It personifies the dawn as a goddess whose fingers, colored like roses, paint the sky with the first light of day.",Περιμέναμε να φανεί η αυγή με τα ρόδινα δάχτυλα για να ξεκινήσουμε.,We waited for the rosy-fingered dawn to appear before setting off.,"A timeless, epic way to describe the beautiful colors of sunrise.",C1,Poetry
2026-07-28,Είδαμε την αλλαγή φρουράς στο Σύνταγμα.,We saw the changing of the guard at Syntagma.,Watching the Evzones in front of the Parliament in Athens.,Περιμέναμε την Κυριακή το πρωί και είδαμε την αλλαγή φρουράς στο Σύνταγμα.,We waited on Sunday morning and saw the changing of the guard at Syntagma.,,A2,Sightseeing in Greece
2026-07-28,Ο δάσκαλος μου έκανε παρατήρηση επειδή μιλούσα.,The teacher told me off for talking.,Receiving a verbal warning or reprimand from a teacher.,Ο δάσκαλος μου έκανε παρατήρηση επειδή μιλούσα την ώρα της παράδοσης.,The teacher told me off for talking during the lecture.,,B1,School and Education
2026-07-28,Επιτροπή κεφαλαιαγοράς,Capital Market Commission / SEC equivalent,The independent regulatory authority responsible for the proper operation of the stock market.,Η επιτροπή κεφαλαιαγοράς επέβαλε βαρύ πρόστιμο στην εταιρεία για χειραγώγηση μετοχών.,The Capital Market Commission imposed a heavy fine on the company for stock manipulation.,,C2,Business and Tax
2026-07-29,Κρατάω δίαιτα,I am on a diet,Explaining why you are eating less.,"Δεν θα πάρω γλυκό, κρατάω δίαιτα.","I won't have dessert, I am on a diet.",,A2,Food and Eating
2026-07-29,Η Παλιά Πόλη της Κέρκυρας θυμίζει Ιταλία.,The Old Town of Corfu reminds you of Italy.,Noting the strong Venetian architectural influence on the island.,"Με τα στενά καντούνια της, η Παλιά Πόλη της Κέρκυρας θυμίζει Ιταλία.","With its narrow alleys, the Old Town of Corfu reminds you of Italy.",,B1,Sightseeing in Greece
2026-07-29,Διοικητικό Συμβούλιο (Δ.Σ.),Board of Directors (BoD),The executive committee that jointly supervises the activities of an organization.,Το Διοικητικό Συμβούλιο θα συνεδριάσει εκτάκτως αύριο το πρωί.,The Board of Directors will hold an emergency meeting tomorrow morning.,Often abbreviated as Δ.Σ. (Delta Sigma).,C1,Business and Tax
2026-07-30,Άναψε το γκαζάκι να φτιάξουμε καφέ.,Light the camping stove so we can make coffee.,Γκαζάκι' is the small portable gas stove used by campers in Greece.,"Πρωί πρωί στη φύση, άναψε το γκαζάκι να φτιάξουμε καφέ.","First thing in the morning in nature, light the camping stove so we can make coffee.",,A2,Camping
2026-07-30,Έχει πολλές απουσίες και κινδυνεύει να μείνει στην ίδια τάξη.,He has many absences and risks repeating the year.,Students in Greece can fail the year if they exceed a certain number of unexcused absences.,"Έχει πολλές απουσίες και κινδυνεύει να μείνει στην ίδια τάξη, πρέπει να προσέχει.","He has many absences and risks repeating the year, he needs to be careful.",,B2,School and Education
2026-07-30,Ανταγωνιστικό πλεονέκτημα,Competitive advantage,A condition or circumstance that puts a company in a favorable or superior business position.,Η καινοτομία είναι το κύριο ανταγωνιστικό πλεονέκτημα της εταιρείας μας.,Innovation is our company's main competitive advantage.,,C1,Business and Tax
2026-07-31,"Στην Ύδρα δεν κυκλοφορούν καθόλου αυτοκίνητα, μόνο γαϊδουράκια.","In Hydra there are no cars at all, only donkeys.",The defining characteristic of this Saronic island.,"Είναι πολύ ήσυχα γιατί στην Ύδρα δεν κυκλοφορούν καθόλου αυτοκίνητα, μόνο γαϊδουράκια.","It is very quiet because in Hydra there are no cars at all, only donkeys.",,A2,Sightseeing in Greece
2026-07-31,Πώς πάω στον σταθμό Λαρίσης;,How do I get to Larissis station?,Larissis station is the main railway station in Athens.,Πρέπει να πάρω το τρένο για Θεσσαλονίκη. Μπορείτε να μου δείξετε στο χάρτη πώς πάω στον σταθμό Λαρίσης;,I have to take the train to Thessaloniki. Can you show me on the map how to get to Larissis station?,,B1,City Transport
2026-07-31,Έχει πέσει στα πατώματα,To be devastated over someone / deeply suffering for love,Literally 'has fallen to the floors'. Means being a dramatic emotional wreck over a crush or breakup.,"Τον χώρισε και έχει πέσει στα πατώματα, κλαίει όλη μέρα.","She broke up with him and he's devastated, crying all day.",Very visual idiom for dramatic heartbreak.,C1,Romantic gossip
2026-08-01,Πάμε για σουβλάκια,Let's go for souvlaki,Suggesting the most popular Greek fast food.,"Δεν θέλω να μαγειρέψω, πάμε για σουβλάκια;","I don't want to cook, let's go for souvlaki?",Souvlaki is the ultimate cheap and tasty meal.,A1,Food and Eating
2026-08-01,Αναλαμβάνει την ευθύνη,Takes responsibility / Claims responsibility,"Used when someone admits fault, or when a group claims they committed an act.",Μια άγνωστη οργάνωση ανέλαβε την ευθύνη για την επίθεση.,An unknown organization claimed responsibility for the attack.,"Crucial vocabulary for news involving politics, accidents, or criminal acts.",B1,The News
2026-08-01,Πιάσαμε την καλύτερη θέση κάτω από τα αρμυρίκια.,We got the best spot under the tamarisk trees.,Tamarisk trees (αρμυρίκια) provide natural shade on many Greek beaches.,Ήρθαμε νωρίς και πιάσαμε την καλύτερη θέση κάτω από τα αρμυρίκια.,We came early and got the best spot under the tamarisk trees.,,C1,Summer and Beach
2026-08-02,Ένα μπουκάλι κρασί,A bottle of wine,Ordering drinks for the table.,Θα θέλαμε ένα μπουκάλι λευκό κρασί.,We would like a bottle of white wine.,,A1,Food and Eating
2026-08-02,Ποιος θα ανέβει τα 999 σκαλιά στο Παλαμήδι;,Who is going to climb the 999 steps at Palamidi?,A rhetorical question expressing dread at the famous staircase in Nafplio.,"Εγώ θα πάρω το αυτοκίνητο, ποιος θα ανέβει τα 999 σκαλιά στο Παλαμήδι;","I'll take the car, who is going to climb the 999 steps at Palamidi?",,B1,Sightseeing in Greece
2026-08-02,Προσοχή στο κενό μεταξύ πλοίου και προβλήτας.,Mind the gap between the ship and the pier.,A standard safety warning during boarding and disembarkation.,"Η ανακοίνωση λέει 'Παρακαλώ, κατά την αποβίβασή σας, προσέξτε το κενό μεταξύ του πλοίου και της προβλήτας'.","The announcement says 'Please, as you disembark, mind the gap between the ship and the pier'.",Προβλήτα' is the pier or quay.,C1,Sea Travel
2026-08-03,Είναι πιασμένος / πιασμένη,He/She is taken,Used to say that someone is already in a relationship.,"Μην τον κοιτάς καν, είναι πιασμένος.","Don't even look at him, he is taken.",Literally means 'caught' or 'taken'.,A2,Romantic gossip
2026-08-03,Φοβάμαι ότι πάτωσα στο διαγώνισμα Φυσικής.,I'm afraid I bombed the Physics test.,Slang for failing or doing very poorly on a test.,"Ήταν πολύ δύσκολα τα θέματα, φοβάμαι ότι πάτωσα στο διαγώνισμα Φυσικής.","The questions were very hard, I'm afraid I bombed the Physics test.",Πάτωσα' literally means 'I hit rock bottom'.,B2,School and Education
2026-08-03,Υπερκαινοφανής αστέρας / Σουπερνόβα,Supernova,A star that suddenly increases greatly in brightness because of a catastrophic explosion that ejects most of its mass.,Η έκρηξη ενός σουπερνόβα μπορεί να φωτίσει ολόκληρο τον γαλαξία.,A supernova explosion can light up the entire galaxy.,Usually referred to simply as 'σουπερνόβα' in everyday news.,C2,Space and Astronomy
2026-08-04,Διψάω,I am thirsty,Expressing the need to drink something.,"Διψάω, έχεις λίγο κρύο νερό;","I am thirsty, do you have some cold water?","In Greece, water is usually served free with coffee or meals.",A1,Food and Eating
2026-08-04,Η θάλασσα δεν αγαπά να την περιορίζουν.,The sea does not like to be restrained.,"A quote from Rick Riordan's novels that perfectly captures the wild, untamable spirit of the sea, a recurring theme in Greek thought. It suggests a force that is inherently free. ",Κάθε φράγμα που χτίζουμε στην ακτή μοιάζει μάταιο· η θάλασσα δεν αγαπά να την περιορίζουν.,Every barrier we build on the coast seems futile; the sea does not like to be restrained.,"Use this to describe the power of the sea, especially when it is rough and challenging human structures.",B1,Poetry
2026-08-04,Ισολογισμός,Balance sheet,"A financial statement that reports a company's assets, liabilities, and shareholder equity.",Ο λογιστής ετοιμάζει τον ισολογισμό για το κλείσιμο του οικονομικού έτους.,The accountant is preparing the balance sheet for the end of the fiscal year.,,C1,Business and Tax
2026-08-05,Είναι καλό παιδί,He/She is a good person / a catch,Used to approve of a friend's romantic interest.,"Να βγεις μαζί του, είναι καλό παιδί.","You should go out with him, he is a good guy.","Literally 'good kid', used for adults too.",A1,Romantic Gossip
2026-08-05,Βάζω τα χαρτιά μου,To apply for a job / submit documents,An idiom meaning to submit an application or CV for a job.,Έβαλα τα χαρτιά μου για τη θέση του λογιστή.,I applied for the accountant position.,Literally means 'I put my papers'.,B2,Office and Work
2026-08-05,Διαστημικά σκουπίδια,Space debris / Space junk,Defunct human-made objects in space—principally in Earth orbit—which no longer serve a useful function.,Τα διαστημικά σκουπίδια αποτελούν κίνδυνο για τους εν λειτουργία δορυφόρους.,Space debris poses a risk to operational satellites.,,C1,Space and Astronomy
2026-08-06,Μου αρέσει,I like him/her,The most basic way to say you are attracted to someone.,Μου αρέσει πολύ ο νέος σου φίλος.,I really like your new friend.,Context usually makes it clear if you mean 'like' as a friend or romantically.,A1,Romantic Gossip
2026-08-06,Παίζω σε διπλό ταμπλό,To two-time someone,Literally 'to play on a double board'. Means dating or flirting with two people at the same time.,"Πρόσεχε, έχω ακούσει ότι αυτός παίζει σε διπλό ταμπλό.","Be careful, I've heard he plays on two boards (two-times).",A common warning given by friends about a potential partner.,B2,Romantic gossip
2026-08-06,Η σκηνή έχει διπλό πανί για να μην περνάει η υγρασία.,The tent has a double flysheet so moisture doesn't get through.,Discussing tent specifications and weatherproofing.,"Αγοράσαμε καλή μάρκα, η σκηνή έχει διπλό πανί για να μην περνάει η υγρασία.","We bought a good brand, the tent has a double flysheet so moisture doesn't get through.",,C1,Camping
2026-08-07,Μας έβαλαν πολλές ασκήσεις για το σπίτι.,They gave us a lot of homework.,Refers to the assignments teachers give for the next day.,Ο μαθηματικός μάς έβαλε πολλές ασκήσεις για το σπίτι.,The math teacher gave us a lot of homework.,,A2,School and Education
2026-08-07,Από πού μπορώ να αγοράσω εισιτήρια;,Where can I buy tickets?,"Asking for the location of a ticket vendor, machine, or kiosk.",Μόλις έφτασα στη στάση. Από πού μπορώ να αγοράσω εισιτήρια για το μετρό;,I just arrived at the station. Where can I buy tickets for the metro?,,B1,City Transport
2026-08-07,Κύκλος εργασιών,Turnover / Gross revenue,The total amount of money taken in by a business in a given period.,Ο κύκλος εργασιών της επιχείρησης μειώθηκε κατά 15% το τελευταίο τρίμηνο.,The business's turnover decreased by 15% in the last quarter.,,C1,Business and Tax
2026-08-08,Τα έχουν,They are dating,"A simple, everyday phrase meaning two people are in a relationship.",Ο Νίκος και η Μαρία τα έχουν.,Nikos and Maria are dating.,Literally means 'they have them'.,A2,Romantic Gossip
2026-08-08,Θα ξαναδώσω εξετάσεις του χρόνου γιατί δεν πέρασα εκεί που ήθελα.,I'll retake the exams next year because I didn't get in where I wanted.,Many students choose to repeat the exams if they miss their desired university program.,"Δεν απογοητεύομαι, θα ξαναδώσω εξετάσεις του χρόνου γιατί δεν πέρασα εκεί που ήθελα.","I'm not discouraged, I'll retake the exams next year because I didn't get in where I wanted.",,B1,School and Education
2026-08-08,Τρώω πόρτα,I eat a door,"Means to be rejected or denied entry, especially at a club or bar.",Πήγα να μπω στο κλαμπ αλλά έφαγα πόρτα.,I went to enter the club but I ate a door.,Slang expression.,C1,Colloquial expressions
2026-08-09,Κάνει τρομερή ζέστη στη Λίνδο το καλοκαίρι.,It's terribly hot in Lindos in the summer.,A warning about the microclimate of the famous Acropolis of Lindos in Rhodes.,"Πάρε πολύ νερό μαζί σου, κάνει τρομερή ζέστη στη Λίνδο το καλοκαίρι.","Take a lot of water with you, it's terribly hot in Lindos in the summer.",,A2,Sightseeing in Greece
2026-08-09,Το Πήλιο συνδυάζει βουνό και θάλασσα τέλεια.,Pelion combines mountain and sea perfectly.,The main selling point of the Centaurs' mountain.,"Το πρωί σκι και το απόγευμα μπάνιο, το Πήλιο συνδυάζει βουνό και θάλασσα τέλεια.","Skiing in the morning and swimming in the afternoon, Pelion combines mountain and sea perfectly.",,B1,Sightseeing in Greece
2026-08-09,Πλοκή που καθηλώνει,Gripping plot,A storyline that holds the audience's attention completely.,Είναι ένα θρίλερ με πλοκή που καθηλώνει από το πρώτο λεπτό.,It is a thriller with a gripping plot from the very first minute.,,C1,Movies and Cinema
2026-08-10,Ανυπομονώ να κλείσουν τα σχολεία για καλοκαίρι!,I can't wait for schools to close for the summer!,The ultimate feeling of every student in late May.,"Έχω κουραστεί με το διάβασμα, ανυπομονώ να κλείσουν τα σχολεία για καλοκαίρι!","I'm tired of studying, I can't wait for schools to close for the summer!",,A2,School and Education
2026-08-10,Κρεμάσαμε την αιώρα ανάμεσα σε δύο δέντρα.,We hung the hammock between two trees.,Setting up a spot to relax.,Βρήκαμε το τέλειο μέρος και κρεμάσαμε την αιώρα ανάμεσα σε δύο δέντρα.,We found the perfect spot and hung the hammock between two trees.,,B1,Camping
2026-08-10,Επανείσοδος,Re-entry,The action of returning into the earth's atmosphere from space.,Η γωνία επανεισόδου στην ατμόσφαιρα πρέπει να υπολογιστεί με απόλυτη ακρίβεια.,The angle of re-entry into the atmosphere must be calculated with absolute precision.,,C2,Space and Astronomy
2026-08-11,Πότε πρέπει να παίρνω τα χάπια;,When should I take the pills?,A patient's question regarding the schedule and dosage of their prescribed medication.,Πότε πρέπει να παίρνω τα χάπια; Πριν ή μετά το φαγητό;,When should I take the pills? Before or after food?,Always ask this to clarify if medication should be taken on an empty stomach.,A2,Seeing the Doctor
2026-08-11,Κάνω διάλειμμα για καφέ,To take a coffee break,A short pause from work to drink coffee and rest.,Στις έντεκα κάνουμε πάντα ένα μικρό διάλειμμα για καφέ.,At eleven we always take a short coffee break.,,B1,Office and Work
2026-08-11,Ο σεφ θα μπορούσε να προσαρμόσει το πιάτο για να είναι χωρίς γλουτένη;,Could the chef adapt the dish to be gluten-free?,"An advanced and very specific dietary request, using formal language and the conditional tense.","Καταλαβαίνω ότι η συνταγή περιέχει ψωμί, αλλά ο σεφ θα μπορούσε να προσαρμόσει το πιάτο για να είναι χωρίς γλουτένη;","I understand the recipe contains bread, but could the chef adapt the dish to be gluten-free?",This shows a high command of the language. A simpler B1/B2 alternative is 'Μπορεί να γίνει χωρίς γλουτένη;' (Can it be made gluten-free?).,C1,Eating and drinking
2026-08-12,Με έκανε μπλοκ,He/She blocked me,Modern dating drama on social media.,Τσακωθήκαμε και με έκανε μπλοκ στο Instagram.,We fought and she blocked me on Instagram.,Uses the English loanword 'block'.,A1,Romantic Gossip
2026-08-12,Έκανα μακροβούτι και βγήκα πολύ μακριά.,I did a long underwater dive and came up very far away.,Μακροβούτι' is swimming horizontally underwater for as long as possible.,"Πήρα φόρα, έκανα μακροβούτι και βγήκα πολύ μακριά από την ακτή.","I got a running start, did a long underwater dive and came up very far from the shore.",,B2,Summer and Beach
2026-08-12,Τα βρήκαν μπαστούνια,They found it difficult / The relationship got rocky,Literally 'they found walking sticks/clubs'. Means they faced severe difficulties in their relationship.,Συγκατοίκησαν νωρίς και τα βρήκαν μπαστούνια.,They moved in together early and things got really rocky.,Often used to gossip about a couple struggling.,C1,Romantic gossip
2026-08-13,Καλή όρεξη!,Enjoy your meal!,A polite phrase said to others at the table just before you start eating. It's the Greek equivalent of 'Bon appétit!'.,Το φαγητό ήρθε. Καλή όρεξη σε όλους!,"The food has arrived. Enjoy your meal, everyone!","You can also say it to people at other tables as you pass by, as a friendly gesture.",A1,Eating and drinking
2026-08-13,Το διαμέρισμα έχει κλιματισμό;,Does the apartment have air conditioning?,"An important feature, especially for summer in Greece.","Επειδή το καλοκαίρι στην Ελλάδα έχει πολλή ζέστη, θα ήθελα να ρωτήσω αν το διαμέρισμα διαθέτει κλιματισμό.","Because it gets very hot in Greece during the summer, I would like to ask if the apartment has air conditioning.",,B1,Renting a home
2026-08-13,Κινηματογραφικός φακός,Cinematic lens,Used metaphorically to describe the perspective through which a film views a subject.,Η φτώχεια απεικονίζεται μέσα από έναν ωμό κινηματογραφικό φακό.,Poverty is depicted through a raw cinematic lens.,,C2,Movies and Cinema
2026-08-14,Ας παίξουμε beach volley στο φιλέ.,Let's play beach volley at the net.,Suggesting a popular beach sport.,"Μαζευτήκαμε δέκα άτομα, ας παίξουμε beach volley στο φιλέ.","Ten of us gathered, let's play beach volley at the net.",,A2,Summer and Beach
2026-08-14,"Ευχαριστούμε, ήταν όλα υπέροχα!","Thank you, everything was wonderful!","A very polite and warm phrase to use as you are leaving, expressing your satisfaction with the meal.","Πληρώσαμε. Ευχαριστούμε, ήταν όλα υπέροχα! Καληνύχτα.","We have paid. Thank you, everything was wonderful! Goodnight.",This is a much stronger compliment than a simple 'thank you'.,B1,Eating and drinking
2026-08-14,"Η θάλασσα, μια υγρή έρημος.","The sea, a liquid desert.","This striking oxymoron, used by authors like Jules Verne, highlights the vastness, emptiness, and potential loneliness of the open ocean, comparing it to a desert. ","Για τον ναυαγό, η απέραντη θάλασσα δεν ήταν παρά μια υγρή έρημος.","For the castaway, the endless sea was nothing but a liquid desert.",A powerful image to convey a sense of isolation and immense scale when surrounded by water.,C1,Poetry
2026-08-15,Θα ήθελα...,I would like...,The polite way to start an order in a restaurant or cafe.,"Θα ήθελα έναν καφέ, παρακαλώ.","I would like a coffee, please.",Follow with the item you want to order.,A2,Basic needs
2026-08-15,Το ηλιοβασίλεμα στην παραλία είναι μαγευτικό.,The sunset at the beach is magical.,Admiring the view at the end of a beach day.,"Ας μείνουμε λίγο ακόμα, το ηλιοβασίλεμα στην παραλία είναι μαγευτικό.","Let's stay a bit longer, the sunset at the beach is magical.",,B1,Summer and Beach
2026-08-15,Κύκνειο άσμα,Swan song,The final film or performance of a director or actor before retirement or death.,Αυτή η συγκλονιστική ερμηνεία αποτέλεσε το κύκνειο άσμα του ηθοποιού.,This stunning performance was the actor's swan song.,Derived from ancient Greek mythology.,C2,Movies and Cinema
2026-08-16,Στην υγειά μας!,To our health! (Cheers!),The Greek way to say 'cheers' when clinking glasses.,"Άντε, στην υγειά μας!","Come on, to our health!",Yamas!' is a shorter common version.,A2,Eating and drinking
2026-08-16,Πέταξα ένα κέρμα στην Επίδαυρο και ακούστηκε μέχρι πάνω!,I dropped a coin in Epidaurus and it was heard all the way to the top!,The ultimate test of the ancient theater's perfect acoustics.,"Στάσου στο κέντρο, πέταξα ένα κέρμα στην Επίδαυρο και ακούστηκε μέχρι πάνω!","Stand in the center, I dropped a coin in Epidaurus and it was heard all the way to the top!",,B1,Sightseeing in Greece
2026-08-16,Δικαιούμαι αποζημίωση για την καθυστέρηση;,Am I entitled to compensation for the delay?,Asking about your rights under passenger protection laws (like EU261).,Η πτήση ακυρώθηκε λόγω τεχνικού προβλήματος της εταιρείας. Δικαιούμαι αποζημίωση;,The flight was cancelled due to a technical problem with the airline. Am I entitled to compensation?,Δικαιούμαι (I am entitled to) is a key C1 verb here.,C1,Air Travel
2026-08-17,Κύμα κακοκαιρίας,Wave of bad weather,Used in weather forecasts and news to describe an incoming storm or severe weather system.,Ένα νέο κύμα κακοκαιρίας θα πλήξει τη χώρα από αύριο.,A new wave of bad weather will hit the country starting tomorrow.,Essential vocabulary for understanding Greek weather reports.,A2,The News
2026-08-17,Το βράδυ ακούγαμε τους ήχους του δάσους.,At night we listened to the sounds of the forest.,Experiencing nature after dark.,"Ήταν λίγο τρομακτικό αλλά μαγικό, το βράδυ ακούγαμε τους ήχους του δάσους.","It was a bit scary but magical, at night we listened to the sounds of the forest.",,B1,Camping
2026-08-17,Συμφωνώ και επαυξάνω,I agree and then some,"Literally 'I agree and increase'. Used to show absolute, emphatic agreement.",Είναι ο καλύτερος παίκτης. - Συμφωνώ και επαυξάνω.,He is the best player. - I completely agree and then some.,Slightly formal but widely used in debates or discussions.,C1,Yes and no
2026-08-18,Στη μέση,In the middle (to share),Ordering food to share with the table.,Θα πάρουμε μια χωριάτικη σαλάτα στη μέση.,We will get a Greek salad to share.,Greek dining is highly communal.,A2,Food and Eating
2026-08-18,Πήραμε ένα φορητό ψυγειάκι με παγοκύστες.,We brought a portable cooler with ice packs.,Essential gear for keeping food safe.,"Για να μην χαλάσει το κρέας, πήραμε ένα φορητό ψυγειάκι με παγοκύστες.","So the meat doesn't spoil, we brought a portable cooler with ice packs.",,B1,Camping
2026-08-18,Η στάση είναι по αίτηση.,The stop is by request.,This means you have to press the stop button for the bus to stop.,Το λεωφορείο δεν σταμάτησε και ο οδηγός είπε ότι 'Η στάση είναι по αίτηση'. Έπρεπε να πατήσω το κουμπί.,"The bus didn't stop, and the driver said 'The stop is by request'. I had to press the button.",The sign in the bus will say 'ΣΤΑΣΗ' when you press the button.,C1,City Transport
2026-08-19,Το Παλιό Λιμάνι στα Χανιά είναι πανέμορφο το βράδυ.,The Old Port in Chania is beautiful at night.,Praising the Venetian harbor in Crete.,"Κάναμε περίπατο στον φάρο, το Παλιό Λιμάνι στα Χανιά είναι πανέμορφο το βράδυ.","We took a walk to the lighthouse, the Old Port in Chania is beautiful at night.",,A2,Sightseeing in Greece
2026-08-19,Βγάζω τα προς το ζην,To make a living,Earning enough money to support oneself.,Δουλεύει σε δύο δουλειές για να βγάλει τα προς το ζην.,He works two jobs to make a living.,,B2,Office and Work
2026-08-19,Άλλα λόγια να αγαπιόμαστε,We are talking past each other / Nonsense,Literally 'other words so we can love each other'. Used when someone is dodging the point or speaking nonsense.,Τον ρώτησα για τα χρήματα και μου είπε άλλα λόγια να αγαπιόμαστε.,I asked him about the money and he gave me a completely irrelevant answer.,A classic idiom to dismiss someone's argument as evasive nonsense.,C2,Yes and no
2026-08-20,Είμαστε συμμαθητές από το νηπιαγωγείο.,We've been classmates since kindergarten.,Expressing a long-term school friendship.,"Ο Πέτρος είναι ο καλύτερός μου φίλος, είμαστε συμμαθητές από το νηπιαγωγείο.","Petros is my best friend, we've been classmates since kindergarten.",,A2,School and Education
2026-08-20,Η επόμενη στάση είναι η 'Ευαγγελισμός';,Is the next stop 'Evangelismos'?,Confirming the next stop on a bus or metro line.,"Συγγνώμη, δεν άκουσα καλά την ανακοίνωση. Η επόμενη στάση είναι η 'Ευαγγελισμός';","Sorry, I didn't hear the announcement clearly. Is the next stop 'Evangelismos'?",,B1,City Transport
2026-08-20,Υπάρχει δυνατότητα για μικρότερη διάρκεια μίσθωσης;,Is a shorter lease duration possible?,To ask for flexibility on the mandatory 3-year lease.,"Επειδή η δουλειά μου είναι προσωρινή, υπάρχει δυνατότητα για μικρότερη διάρκεια μίσθωσης από τα τρία χρόνια;","Because my job is temporary, is a shorter lease duration than the three years possible?","While legally binding for 3 years, sometimes an informal agreement can be made.",C1,Renting a home
